RespondentID,Personal_JavaScalaSpark,Personal_JavaScriptHTMLCSS,Personal_Python,Personal_R,Personal_SAS,Professional_JavaScalaSpark,Professional_JavaScriptHTMLCSS,Professional_Python,Professional_R,Professional_SAS,Industry_JavaScalaSpark,Industry_JavaScriptHTMLCSS,Industry_Python,Industry_R,Industry_SAS,Python_Course_Interest,Foundations_DE_Course_Interest,Analytics_App_Course_Interest,Systems_Analysis_Course_Interest,Courses_Completed,PREDICT400,PREDICT401,PREDICT410,PREDICT411,PREDICT413,PREDICT420,PREDICT422,PREDICT450,PREDICT451,PREDICT452,PREDICT453,PREDICT454,PREDICT455,PREDICT456,PREDICT457,OtherPython,OtherR,OtherSAS,Other,Graduate_Date
5129569679,5,15,35,35,10,0,5,50,25,20,5,30,40,10,15,82,25,76,25,3,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),,,,,,,,,,,,,,,,,,2020 or Later
5129476874,5,5,20,40,30,5,5,30,50,10,5,5,30,50,10,80,75,40,25,2,PREDICT 400 Math for Modelers (Python),,,,,,,,,,,,,,,,,,,Spring 2018
5128886013,0,0,25,40,35,0,0,25,40,35,20,10,10,20,40,80,25,25,100,7,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),PREDICT 413 Time Series Analysis and Forecasting (R),,,,,,,,,PREDICT 456 Sports Performance Analytics (R),,,,,,Spring 2018
5128804584,10,10,30,40,10,10,20,40,20,10,20,20,40,10,10,60,50,80,80,3,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),,,,,,,,,,,,,,,,,,Winter 2018
5128370809,0,0,40,50,10,0,0,40,50,10,0,0,40,50,10,100,83,35,50,4,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,,,,,,,,,,,,,,,Fall 2019
5128110446,30,30,10,10,20,10,50,5,5,30,10,50,5,5,30,35,NA,90,10,2,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),,,,,,,,,,,,,,,,,,2020 or Later
5128109564,20,0,40,30,10,0,0,40,20,40,20,0,30,20,30,60,25,20,20,12,,,,,,,,,PREDICT 451 Risk Analytics (R),,,,,,,,,,498,Fall 2016
5128088922,0,0,15,50,35,0,0,0,70,30,0,0,20,40,40,90,50,20,80,7,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,"420,480",Summer 2017
5127941642,30,0,35,35,0,10,0,45,45,0,25,25,25,25,0,100,100,100,67,NA,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),PREDICT 413 Time Series Analysis and Forecasting (R),PREDICT 420 Database Systems and Data Preparation (Python),PREDICT 422 Practical Machine Learning (R),,,,PREDICT 453 Text Analytics (Python),,,,,,,,PREDICT 402,Summer 2017
5127921328,30,5,30,30,5,30,5,30,30,5,30,5,30,30,5,30,32,79,71,NA,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),,,,,,,,,,,,,,,,,,Spring 2019
5127886128,25,0,25,25,25,25,0,25,25,25,25,0,25,25,25,100,25,25,100,5,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Spring 2018
5127002953,5,5,20,50,20,5,5,10,40,40,5,5,40,40,10,50,40,40,80,6,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Spring 2018
5126564196,0,20,40,40,0,0,10,30,30,30,0,20,30,30,20,100,50,100,70,8,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),PREDICT 413 Time Series Analysis and Forecasting (R),PREDICT 420 Database Systems and Data Preparation (Python),,,,,PREDICT 453 Text Analytics (Python),,,,,,,,Introduction to Predictive Analytics,Summer 2017
5126541968,0,0,30,50,20,0,0,10,80,10,0,0,30,40,30,77,30,42,96,12,PREDICT 400 Math for Modelers (Python),,,,,,,,,,,,,,,,,,,Spring 2019
5126536045,20,0,25,30,25,15,5,25,30,25,15,5,25,30,25,70,80,80,80,9,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),PREDICT 413 Time Series Analysis and Forecasting (R),PREDICT 420 Database Systems and Data Preparation (Python),PREDICT 422 Practical Machine Learning (R),,,,,,,,,,,,,Spring 2017
5126530686,10,10,20,30,30,10,10,20,30,30,0,0,0,20,80,50,0,0,20,12,,PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,,,,,,PREDICT 453 Text Analytics (Python),,PREDICT 455 Data Visualization (R),,,,,,417 ending in June 2014 - terrible course unfortunately!,Winter 2017
5126502407,10,0,45,0,45,0,0,50,0,50,10,0,45,0,45,6,4,8,8,NA,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Summer 2017
5126413256,10,0,30,40,20,20,0,40,40,0,30,0,40,30,0,80,60,40,70,2,,,,,,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Winter 2018
5126401782,25,25,25,25,0,33,0,33,34,0,33,0,33,34,0,75,75,74,74,3,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,,,,,,,,,,,,,,,Spring 2019
5126215650,5,5,20,40,30,0,0,10,70,20,20,20,10,30,20,100,20,10,19,5,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Fall 2018
5126206084,40,0,30,30,0,50,0,20,30,0,60,0,20,20,0,100,100,100,100,7,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),PREDICT 413 Time Series Analysis and Forecasting (R),PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Spring 2018
5126090565,10,10,25,30,25,0,0,10,45,45,5,5,20,50,20,50,25,50,30,2,PREDICT 400 Math for Modelers (Python),,,,,,,,,,,,,,,,,,,Spring 2019
5126024329,25,10,20,35,10,20,10,20,30,20,20,20,20,30,10,80,50,20,30,9,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,PREDICT 455 Data Visualization (R),PREDICT 456 Sports Performance Analytics (R),,,,,,Spring 2017
5126020618,5,0,10,70,15,0,0,10,90,0,0,0,5,50,45,70,70,35,90,7,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),PREDICT 413 Time Series Analysis and Forecasting (R),PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,Other Course with R as the Primary Language,,,Winter 2017
5125965500,5,5,30,50,10,5,5,30,30,30,0,0,25,25,50,20,75,100,20,7,,PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,PREDICT 420 Database Systems and Data Preparation (Python),PREDICT 422 Practical Machine Learning (R),,,,,,PREDICT 455 Data Visualization (R),,,,,,,Spring 2017
5125871009,0,0,35,35,30,0,0,35,35,30,0,0,40,40,20,5,NA,15,20,7,,PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,,,,,PREDICT 452 Web Analytics and Network Data Science (Python),,,,,,,,,,Winter 2018
5125787964,0,0,20,70,10,5,5,20,50,20,5,5,20,50,20,100,90,72,84,1,PREDICT 400 Math for Modelers (Python),,,,,,,,,,,,,,,,,,,Spring 2019
5125602243,20,10,30,30,10,15,10,50,15,10,20,10,30,30,10,100,100,100,100,5,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Summer 2017
5125539272,0,10,40,40,10,0,20,40,40,0,0,10,40,40,10,100,100,100,100,5,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),,,,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Winter 2018
5125298835,25,10,10,50,5,40,10,10,40,0,50,10,20,20,0,35,65,25,50,11,,,PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),PREDICT 413 Time Series Analysis and Forecasting (R),,PREDICT 422 Practical Machine Learning (R),,,,,,PREDICT 455 Data Visualization (R),,,,,,I am on the old curriculum when 401 was with spss ,Winter 2017
5125282032,5,0,20,75,0,5,0,20,75,0,5,0,20,75,0,75,10,6,11,5,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Winter 2018
5125230898,0,10,30,30,30,0,10,30,30,30,0,0,30,40,30,80,50,50,30,6,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Winter 2018
5125160866,0,0,20,40,40,0,0,20,40,40,0,0,30,40,30,12,18,22,4,10,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),PREDICT 413 Time Series Analysis and Forecasting (R),PREDICT 420 Database Systems and Data Preparation (Python),PREDICT 422 Practical Machine Learning (R),,,,PREDICT 453 Text Analytics (Python),,,,,,,,,Spring 2017
5125014714,15,10,30,30,15,5,20,40,30,5,0,30,40,30,0,100,50,70,50,6,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Spring 2018
5124933644,0,0,40,60,0,0,0,50,50,0,0,0,40,60,0,100,0,70,0,9,,PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),PREDICT 422 Practical Machine Learning (R),PREDICT 450 Marketing Analytics (R),,,PREDICT 453 Text Analytics (Python),,,,,,,,,Summer 2017
5124706292,0,0,45,50,5,0,0,50,50,0,0,0,75,25,0,100,98,65,65,NA,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,PREDICT 455 Data Visualization (R),PREDICT 456 Sports Performance Analytics (R),,,,,,Spring 2017
5124699298,10,10,35,30,15,10,10,35,30,15,10,10,35,30,15,100,100,80,75,10,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),PREDICT 413 Time Series Analysis and Forecasting (R),PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,PREDICT 456 Sports Performance Analytics (R),,,,,,Spring 2017
5124690736,10,20,30,30,10,0,20,40,40,0,0,20,40,40,0,100,75,70,80,4,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,,,,,,,,,,,,,,,Spring 2018
5124599237,15,5,30,30,20,5,5,30,30,30,10,5,15,35,35,99,20,20,20,4,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Winter 2019
5124596881,0,25,0,25,50,0,50,0,0,50,0,50,0,25,25,98,15,98,99,7,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),PREDICT 422 Practical Machine Learning (R),PREDICT 450 Marketing Analytics (R),,,,,,,,,,,,Winter 2018
5124507971,0,0,33,33,34,0,0,33,33,34,11,11,26,26,26,90,9,90,70,5,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,,,,,,,,,,,,,,,Winter 2018
5124494137,0,0,50,50,0,0,0,0,100,0,25,25,25,0,25,60,30,10,NA,3,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),,,,,,,,,,,,,,,,,,Winter 2019
5124475943,0,0,30,50,20,0,0,35,55,10,0,0,35,35,30,85,60,10,10,7,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),PREDICT 413 Time Series Analysis and Forecasting (R),,,PREDICT 450 Marketing Analytics (R),,,,,,,,,,,,Spring 2018
5124453261,8,7,21,32,32,5,5,20,40,30,5,5,20,40,30,90,85,75,80,NA,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),PREDICT 422 Practical Machine Learning (R),,,,PREDICT 453 Text Analytics (Python),,,,,,,,"Predict 480, 402",Fall 2017
5124440950,10,10,30,30,20,0,0,30,50,20,0,0,30,40,30,80,10,20,10,10,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),PREDICT 413 Time Series Analysis and Forecasting (R),,PREDICT 422 Practical Machine Learning (R),,,,PREDICT 453 Text Analytics (Python),,,,,,,,Database Design course in the CIS program (SQL),Winter 2017
5124356341,30,0,30,30,10,25,15,20,35,5,25,15,25,25,10,80,0,60,75,7,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,PREDICT 455 Data Visualization (R),,,,,,,Winter 2018
5124324047,0,0,33,33,34,0,0,25,25,50,0,0,25,25,50,70,20,0,NA,6,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),PREDICT 413 Time Series Analysis and Forecasting (R),,,,,,,,,,,,,,,Spring 2018
5124304620,20,0,30,40,10,20,0,40,40,0,20,20,30,30,0,15,40,80,20,5,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,Intro to predictive analytics,Winter 2018
5124188945,5,5,10,40,40,5,5,10,40,40,0,10,10,30,50,75,100,100,100,NA,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,,,,,,,,,,,,,,,Winter 2018
5124178474,9,0,33,33,25,25,0,25,25,25,25,0,25,25,25,100,100,50,25,NA,,PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Winter 2017
5124146380,5,5,35,35,20,0,0,50,40,10,0,0,40,40,20,90,75,25,50,NA,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,PREDICT 402,Spring 2018
5124115460,15,15,35,25,10,10,30,30,20,10,20,30,20,20,10,75,25,85,50,5,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Fall 2018
5124106532,15,15,30,30,10,20,20,30,30,0,10,15,25,30,20,100,100,100,100,3,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,,,,,,,,,,,,,,,Fall 2019
5123868171,20,10,10,60,0,10,0,20,70,0,0,0,30,70,0,90,40,80,30,6,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Spring 2018
5123866475,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,100,100,100,100,7,,PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,,,,,,,,,,,,,,,Fall 2018
5123858363,0,0,35,35,30,0,0,50,50,0,15,10,25,25,25,100,62,65,56,6,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Fall 2018
5123855356,0,0,50,25,25,0,0,10,40,50,0,0,0,50,50,90,50,0,50,8,,PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,,,,,,,,,,,,,,,Fall 2017
5123843717,0,0,20,30,50,0,0,0,50,50,0,0,0,50,50,40,38,36,60,10,,PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,PREDICT 450 Marketing Analytics (R),PREDICT 451 Risk Analytics (R),,,,,,,,,,,Spring 2017
5123813584,5,5,10,70,10,0,0,5,95,0,0,0,10,85,5,50,25,25,25,5,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,,,,,,,,,,,,,,,Fall 2018
5123809263,10,20,20,30,20,10,20,10,30,30,10,30,0,30,30,65,77,53,81,2,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),,,,,,,,,,,,,,,,,,Spring 2019
5123782948,10,0,40,30,20,0,0,60,40,0,0,0,30,30,40,80,100,100,50,3,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),,,,,,,,,,,,,,,,,,Winter 2019
5123774765,0,0,50,45,5,0,0,50,45,5,0,0,50,45,5,50,40,55,35,7,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Winter 2018
5123752047,20,20,25,25,10,25,20,25,25,5,25,20,25,25,5,100,80,70,55,NA,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),,,,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,PREDICT 455 Data Visualization (R),,,,,,,Fall 2017
5123745589,0,0,0,50,50,0,0,0,75,25,0,0,0,0,100,25,50,50,85,5,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,,,,,,,,,,,,,,,Spring 2018
5123742596,10,0,20,50,20,20,0,30,40,10,10,0,30,40,20,96,35,30,60,2,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),,,,,,,,,,,,,,,,,,Spring 2019
5123742447,0,0,50,50,0,0,0,50,50,0,0,0,50,50,0,100,100,100,13,8,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,PREDICT 455 Data Visualization (R),,,,,,"PREDICT 481 Leadership, PREDICT 402 Intro to Predictive Analytics",Fall 2017
5123733939,30,10,30,30,0,30,0,50,20,0,30,0,50,20,0,90,50,90,80,4,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),,,,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Fall 2017
5123715668,15,5,30,30,20,10,0,30,30,30,20,0,35,35,10,98,49,0,0,7,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,Business Leadership,Winter 2018
5123712353,15,10,25,25,25,5,5,45,45,0,10,15,25,25,25,NA,NA,NA,NA,8,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,PREDICT 455 Data Visualization (R),,,,,,,Spring 2017
5123706516,10,5,40,30,15,10,5,40,30,15,10,5,40,30,15,85,70,40,30,5,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,,,,,,,,,,,,,,,Spring 2018
