SEX,LENGTH,DIAM,HEIGHT,WHOLE,SHUCK,RINGS,CLASS
I,12.285,9.45,3.15,111.4375,49.6875,8,A2
I,10.395,7.875,2.415,71.9375,38.75,8,A2
I,9.45,7.035,1.995,43.8125,20.1875,7,A2
I,10.185,7.77,2.94,63.3125,30.3125,8,A2
I,9.45,6.93,2.205,46.4375,23.3125,7,A2
I,7.98,5.985,1.995,30.375,11.1875,7,A2
I,7.35,5.88,1.575,24.5,10.25,8,A2
I,8.295,6.51,1.785,39.625,19.125,7,A2
I,8.085,5.88,1.995,32.125,14.875,7,A2
I,6.93,5.355,1.68,25.625,11.1875,7,A2
I,11.445,8.505,2.73,82.25,40.875,8,A2
I,5.565,4.095,1.155,10.5,4.5625,7,A2
I,7.875,6.405,2.415,33.9375,11.5,8,A2
I,11.13,8.82,2.52,74.5625,31.9375,7,A2
I,7.665,5.67,1.785,27.8125,11.6875,7,A2
I,6.72,5.04,1.575,21.6875,9.5,7,A2
I,9.24,7.14,2.1,47.375,21.5625,7,A2
I,6.09,4.305,1.47,12.1875,4.5,8,A2
I,9.45,7.035,2.205,45.25,19.6875,7,A2
I,9.45,7.035,2.415,49.1875,24.375,7,A2
I,10.605,8.505,2.73,75.1875,37.6875,8,A2
I,9.135,6.615,2.31,46.0625,20.1875,7,A2
I,8.82,6.3,2.205,39.5,15.6875,7,A2
I,10.185,7.875,2.94,65.125,25,8,A2
I,8.295,6.825,2.205,38.25,13.875,8,A2
I,11.34,8.19,2.625,78.1875,31.5625,8,A2
I,5.88,4.2,1.365,11.1875,4.5,7,A2
I,7.56,5.565,1.89,25.6875,12,7,A2
I,7.245,5.67,2.31,26.6875,10.25,7,A2
I,11.025,8.4,2.73,80.6875,40.625,8,A2
I,8.925,6.615,1.995,45.9375,23.3125,7,A2
I,8.085,6.3,1.995,37.75,19,7,A2
I,6.825,4.2,1.68,12.4375,4.9375,8,A2
I,10.185,7.56,2.52,64.4375,30.8125,8,A2
I,9.555,7.35,2.835,67.0625,35.6875,7,A2
I,10.5,8.085,2.52,70,35.4375,8,A2
I,8.925,6.51,1.995,43.8125,20.5625,8,A2
I,11.025,8.4,2.94,81.75,38.125,7,A2
I,8.505,6.405,2.1,33.5,14.3125,7,A2
I,10.395,7.98,2.52,64,29.125,7,A2
I,7.665,5.775,1.89,29.3125,13.5,7,A2
I,10.395,6.93,2.1,55,22.125,7,A2
I,7.875,5.775,1.995,28.6875,11.875,7,A2
I,9.45,6.93,2.415,45.625,17.5,8,A2
I,9.45,7.56,2.73,59.75,23.875,7,A2
I,8.295,6.195,1.995,34.0625,14.375,8,A2
I,12.915,9.975,2.73,105.3125,44.125,8,A2
I,10.5,8.4,2.52,77,32.625,8,A2
I,10.185,8.085,2.73,74.996875,31.3125,7,A2
I,8.19,6.3,2.1,33.3125,13.8125,7,A2
I,8.925,6.72,2.1,38.1875,15.75,7,A2
I,9.135,6.825,2.205,41.875,17,8,A2
I,7.35,5.46,1.995,26.375,10.75,7,A2
I,8.925,7.14,2.1,43.9375,20.3125,7,A2
I,10.5,7.77,2.415,71.8125,38.25,7,A2
I,10.185,7.665,2.205,65.0625,24.375,8,A2
I,10.5,7.875,2.94,68.6875,31,7,A2
I,7.56,5.46,1.89,22.3125,8.0625,7,A2
I,9.975,7.455,2.1,62.9375,31.6875,8,A2
I,8.295,6.3,1.89,34.875,16.75,8,A2
I,9.135,7.035,2.31,51.375,25.3125,7,A2
I,7.875,5.775,1.785,27.5,13.625,7,A2
I,9.765,7.455,2.52,72.5625,31.875,8,A2
I,8.085,6.09,1.785,32.57375,14,8,A2
I,9.87,8.085,2.73,73.375,33,8,A2
I,9.975,7.56,2.625,61.3125,25.625,8,A2
I,9.45,7.35,2.73,68.375,30.625,8,A2
I,9.66,7.56,2.205,58.25,27.8125,7,A2
I,11.34,8.82,2.94,92.5,44.9375,8,A2
I,7.035,5.25,1.995,23.125,9.9375,8,A2
I,9.135,6.3,2.52,74.5625,32.375,8,A2
I,11.445,9.03,2.94,96.5,36.125,8,A2
I,8.61,6.405,1.89,44.1875,19.625,7,A2
I,7.56,5.985,2.205,30.1875,11.4375,7,A2
I,8.19,6.3,1.995,40.8125,20.8125,7,A2
I,8.19,6.09,1.89,34.3125,16.875,8,A2
I,11.235,8.085,3.78,135.4375,61.9375,8,A2
I,12.6,10.08,3.57,114.6875,47.5,8,A2
I,11.13,8.295,2.415,59.375,25.3125,8,A2
I,8.715,6.825,2.1,41.6875,18.0625,7,A2
I,9.45,7.455,2.31,57.3125,24.25,8,A2
I,9.555,7.035,2.205,50.6875,21.875,8,A2
I,7.455,5.46,1.89,24.8125,8.9375,7,A2
I,10.185,7.665,2.94,65.984375,23.6875,8,A2
I,10.08,7.35,2.1,64.875,29.5625,7,A2
I,9.345,7.35,2.73,52.4375,21.1875,7,A2
I,9.87,7.665,2.1,51.375,21.875,8,A2
I,9.555,9.135,2.31,53.3125,24.375,8,A2
I,9.135,6.825,2.52,43.25,19.875,7,A2
I,10.92,7.98,2.415,83.0625,41.0625,7,A2
I,9.24,7.035,2.31,48.5625,21.875,7,A2
I,9.975,7.56,2.31,61.5,26.375,8,A2
I,6.825,5.04,1.47,19,7.0625,8,A2
I,7.875,5.985,1.89,32.125,13.0625,7,A2
I,10.71,8.295,2.205,69.0625,29.25,8,A2
I,15.225,11.55,4.62,256.1875,94.75375,20,A5
I,11.13,8.4,3.045,69.375,23.70375,9,A3
I,12.075,9.45,2.625,97.5,40.11875,9,A3
I,12.075,9.24,2.625,106.4375,55.79875,9,A3
I,11.13,8.925,2.73,95.9375,51.3275,9,A3
I,6.195,4.725,1.68,15.5,5.94125,9,A3
I,10.185,7.245,3.36,108.625,37.79125,9,A3
I,11.655,9.45,3.675,92.25,37.24,9,A3
I,10.185,7.77,2.415,57.125,23.09125,9,A3
I,11.55,8.925,3.15,79.875,32.9525,9,A3
I,12.285,9.66,2.94,95.4375,39.935,9,A3
I,11.025,8.4,3.045,76.1875,30.38,9,A3
I,9.87,7.875,2.205,55.125,20.4575,10,A3
I,10.815,8.295,2.625,72.5625,28.97125,9,A3
I,11.34,8.505,3.15,94.8125,37.6075,10,A3
I,11.34,8.82,2.94,90.8125,39.26125,9,A3
I,10.815,7.35,2.205,59.3125,26.0925,10,A3
I,11.34,8.715,3.255,87.75,39.445,10,A3
I,8.505,6.615,2.205,43.375,19.66125,9,A3
I,12.075,9.345,3.36,114.6875,55.125,9,A3
I,11.865,8.82,3.255,92.875,37.975,9,A3
I,6.72,5.25,1.68,19.5625,6.9825,9,A3
I,12.705,10.29,3.465,133.875,59.045,10,A3
I,12.495,9.87,2.835,117.0625,53.165,10,A3
I,10.815,8.4,2.835,87.0625,39.2,9,A3
I,13.23,9.975,3.045,132.5625,63.27125,10,A3
I,10.185,7.77,2.73,57.25,22.1725,10,A3
I,9.765,7.56,2.205,62.121875,26.95,9,A3
I,12.39,9.45,2.625,107.5,53.5325,9,A3
I,9.87,7.245,2.94,57.6875,28.0525,9,A3
I,11.34,8.715,2.31,77.375,33.74875,10,A3
I,11.235,8.82,3.045,86.0625,33.4425,9,A3
I,9.87,7.56,2.73,65.3125,24.255,9,A3
I,11.55,8.925,2.835,91.3125,40.73125,9,A3
I,11.97,9.45,3.045,93.875,34.60625,10,A3
I,9.975,7.665,2.415,61.25,27.3175,9,A3
I,10.185,7.455,2.205,62.25,26.64375,9,A3
I,10.92,8.61,2.94,87.375,41.58875,10,A3
I,10.71,7.875,3.15,105.1875,47.10125,10,A3
I,11.235,8.19,2.625,74.875,31.78875,9,A3
I,11.55,8.925,3.255,109.0625,50.47,10,A3
I,12.075,9.45,2.835,108.9375,55.125,10,A3
I,12.705,9.87,3.045,106.283125,46.4275,9,A3
I,12.81,9.765,2.625,115.3125,53.41,9,A3
I,10.605,8.085,2.625,74.5,30.0125,9,A3
I,10.5,8.085,3.15,78.3125,31.91125,10,A3
I,10.08,7.77,2.625,59.25,21.9275,9,A3
I,8.82,6.405,2.31,35,11.515,9,A3
I,9.24,7.665,2.31,55.8125,26.0925,9,A3
I,14.07,10.185,3.675,157.0625,65.59875,9,A3
I,10.92,8.295,2.625,82.875,36.81125,9,A3
I,9.975,7.14,2.205,56.6875,24.8675,9,A3
I,11.76,8.925,2.835,102.5625,45.50875,9,A3
I,10.5,7.98,2.835,74.25,36.07625,9,A3
I,10.815,8.4,2.835,79.5,37.42375,9,A3
I,12.81,9.765,3.15,120.0625,55.06375,9,A3
I,12.075,9.45,3.15,107.25,55.0025,10,A3
I,7.35,5.46,1.785,21.75,8.63625,10,A3
I,10.92,8.295,2.625,72.5625,29.95125,9,A3
I,13.65,10.92,3.15,154.75,67.31375,10,A3
I,11.445,8.925,2.94,101.8125,37.3625,10,A3
I,12.39,9.345,2.835,96.4375,40.18,9,A3
I,9.24,6.72,2.205,48.4375,21.49875,9,A3
I,11.865,9.135,3.045,105.5625,48.69375,9,A3
I,11.76,9.555,3.045,121.75,67.0075,9,A3
I,10.92,8.61,3.045,80.75,36.32125,9,A3
I,11.55,9.345,3.045,97.875,35.79778125,11,A4
I,11.34,8.925,2.73,101.9375,43.20421875,11,A4
I,13.02,10.185,3.78,144.25,58.01709375,12,A4
I,8.715,6.825,2.415,41.0625,16.51753125,12,A4
I,11.13,8.295,2.625,77.9375,34.97484375,11,A4
I,13.125,9.03,3.675,176.375,67.24575,12,A4
I,9.345,7.245,2.73,50.9375,16.04728125,11,A4
I,13.23,10.605,3.78,159,70.83140625,11,A4
I,12.81,10.29,3.36,144.3125,68.95040625,11,A4
I,9.765,7.14,2.31,43.25,16.75265625,11,A4
I,11.025,9.03,3.15,92.0625,37.91390625,11,A4
I,12.075,9.45,2.835,103.0625,39.67734375,11,A4
I,13.02,10.08,3.78,141.3125,62.13178125,12,A4
I,9.135,7.035,2.31,47.875,18.28096875,12,A4
I,11.55,8.715,2.835,101.1875,35.09240625,12,A4
I,7.875,5.88,2.1,32.0625,13.69603125,12,A4
I,11.235,9.45,3.57,97.625,35.91534375,11,A4
I,11.865,9.24,3.675,109.1875,48.670875,11,A4
I,11.865,9.03,2.835,106.8125,37.7375625,11,A4
I,13.02,9.87,3.255,120.75,52.5504375,11,A4
I,10.71,8.505,2.52,76.25,26.9218125,11,A4
I,10.605,8.16585,3.28755,95.25,44.1643125,14,A5
I,12.19575,9.65055,3.8178,106.5625,35.0870625,13,A5
I,13.25625,9.86265,3.28755,121.5,47.0155,14,A5
I,10.8171,8.484,3.1815,93.125,33.3414375,13,A5
I,11.0292,8.484,3.07545,82.5,31.072125,13,A5
I,9.43845,6.9993,2.121,54.625,18.969125,13,A5
I,8.16585,6.46905,2.01495,31.5,10.6483125,14,A5
I,9.01425,7.31745,2.65125,53.125,18.62,13,A5
I,9.3324,7.31745,2.5452,60.875,22.8676875,14,A5
I,10.92315,8.9082,2.86335,88.875,39.218375,13,A5
I,11.4534,8.484,3.07545,94.625,37.429875,15,A5
I,13.9986,11.13525,4.56015,223.25,79.9098125,17,A5
I,12.3018,8.9082,3.3936,91,32.3798125,19,A5
I,7.52955,5.9388,2.121,28.4375,11.1101375,16,A5
I,11.0292,8.59005,2.9694,72.1875,23.765,15,A5
I,10.92315,8.9082,2.86335,88.875,40.044025,20,A5
I,11.98365,9.3324,3.71175,109.1875,49.19355,17,A5
I,9.3324,7.31745,2.5452,60.875,23.3491125,20,A5
F,9.765,7.35,2.625,60.25,28.75,6,A1
F,10.71,8.4,2.625,68.125,32.625,6,A1
F,11.13,8.82,3.57,103.5,51.25,6,A1
F,10.815,7.875,2.31,75.8125,37.5625,6,A1
F,12.285,9.45,2.625,109.25,44.3125,6,A1
F,8.4,6.825,2.52,39.8125,16.75,8,A2
F,10.5,7.98,2.94,79.4375,34.625,8,A2
F,11.13,8.295,3.045,96.875,38.5,7,A2
F,11.76,9.03,3.15,109.3125,56.625,8,A2
F,13.335,10.5,3.99,161.25,74.125,8,A2
F,9.45,7.455,2.205,65.3125,29.625,8,A2
F,9.87,7.56,2.1,58.8125,20.4375,8,A2
F,9.66,7.56,2.415,61.220625,26.3125,8,A2
F,12.18,9.345,2.835,118.75,60.5,8,A2
F,11.55,9.24,2.835,105.4375,54.25,8,A2
F,7.77,5.775,1.68,28.375,11.625,8,A2
F,12.495,9.765,3.15,137.5625,67.6875,8,A2
F,12.6,9.66,3.045,116.5625,49.8125,8,A2
F,11.55,9.03,3.15,105,49.375,8,A2
F,12.81,10.395,3.885,144.125,67,8,A2
F,7.98,6.72,2.415,80.9375,40.375,7,A2
F,11.445,9.24,3.15,118.4375,45.75,8,A2
F,9.765,7.35,2.835,78.3125,32.375,8,A2
F,7.98,6.405,1.995,35.1875,15.6875,8,A2
F,8.4,6.3,2.415,37.8125,16.6875,8,A2
F,12.915,10.08,3.36,156.5625,73.125,8,A2
F,12.18,10.08,3.78,156.1875,61.8125,8,A2
F,9.66,7.875,2.52,57.5625,22.1875,7,A2
F,11.97,9.555,3.15,138.375,67.5,8,A2
F,7.77,5.775,2.1,27.8125,11.625,8,A2
F,12.075,9.66,3.045,124.3125,58.25,7,A2
F,9.66,7.875,2.52,61.4375,27.5625,7,A2
F,12.81,9.87,3.36,134.3125,61.5625,8,A2
F,11.97,9.135,2.94,107.3125,48.8125,8,A2
F,11.235,8.925,2.835,96.375,47.0625,8,A2
F,11.97,9.45,2.835,97.5625,41.8125,8,A2
F,9.66,7.35,2.415,55,23.75,8,A2
F,9.135,6.825,2.31,54.1875,22.25,7,A2
F,10.92,8.505,2.415,97,40,8,A2
F,11.235,9.345,2.625,109.0625,52.125,8,A2
F,12.075,9.135,3.15,133.706875,57.5625,8,A2
F,6.825,5.46,1.89,23.9375,10.625,7,A2
F,11.235,9.66,3.045,98.4375,42.4375,8,A2
F,12.18,9.135,3.15,104.25,53.5,8,A2
F,10.605,8.19,2.415,82.5,38.0625,8,A2
F,13.755,11.13,3.465,160.4375,72.875,8,A2
F,11.55,9.45,3.15,109.375,45.7025,10,A3
F,11.655,9.24,2.94,105.75,43.6825,10,A3
F,13.44,10.605,3.675,164.8125,78.085625,9,A3
F,15.33,11.97,3.465,252.0625,134.898125,10,A3
F,13.23,10.29,4.725,167,85.913125,10,A3
F,11.55,9.24,2.625,101.390625,41.6625,9,A3
F,12.915,9.765,3.15,115.375,58.264375,9,A3
F,13.125,10.29,3.255,139.375,61.105,9,A3
F,10.815,8.505,2.52,80.75,36.549375,10,A3
F,10.92,8.61,2.625,87.3125,37.180625,10,A3
F,10.815,8.715,2.94,86.6875,39.326875,10,A3
F,11.445,9.24,2.835,114.8125,54.16125,10,A3
F,12.495,9.765,3.15,122.5,51.951875,10,A3
F,12.915,10.185,3.36,144.6875,63.188125,10,A3
F,11.025,8.4,2.73,87.4375,39.326875,9,A3
F,11.13,8.61,3.045,106.5728125,47.34375,9,A3
F,13.23,10.605,4.095,163.25,65.145,9,A3
F,13.02,10.5,3.57,143.5,69.121875,10,A3
F,10.29,7.98,3.255,72.25,30.236875,9,A3
F,9.345,6.93,2.205,56.5625,22.725,9,A3
F,12.075,9.87,3.255,139.5,64.26125,10,A3
F,13.02,10.08,3.57,138.0625,67.54375,10,A3
F,10.605,8.4,3.465,91.125,33.771875,9,A3
F,13.545,10.815,3.675,193.25,88.816875,10,A3
F,12.705,9.87,3.465,147.1875,77.13875,9,A3
F,12.705,10.185,3.36,132.0625,46.7125,10,A3
F,12.18,9.45,3.255,116.25,48.60625,9,A3
F,13.65,10.92,4.095,160.125,75.560625,10,A3
F,13.125,9.87,3.57,156.875,66.28125,10,A3
F,13.755,10.29,3.36,150.5,68.869375,9,A3
F,10.815,8.19,2.73,71.9375,24.934375,9,A3
F,9.135,7.035,2.31,47.5,21.399375,9,A3
F,15.12,12.075,4.095,268.8125,135.655625,10,A3
F,10.71,8.4,2.52,87.5625,43.80875,10,A3
F,13.755,11.025,3.675,168.5,73.919375,10,A3
F,9.24,7.14,2.73,52.4375,19.31625,10,A3
F,8.82,6.93,2.625,57.875,23.4825,10,A3
F,14.7,11.025,3.99,205.8125,107.880625,9,A3
F,13.755,9.66,3.36,186.75,87.049375,9,A3
F,11.025,9.03,2.835,105.4375,54.603125,9,A3
F,11.235,8.61,2.73,89.3125,42.29375,9,A3
F,9.135,7.35,2.625,57.375,24.87125,9,A3
F,9.87,7.56,2.73,59,22.9775,10,A3
F,9.555,7.56,2.31,54.8125,26.0075,10,A3
F,11.55,7.98,3.465,150.625,68.55375,10,A3
F,13.125,10.29,2.31,142,66.470625,9,A3
F,12.915,9.975,3.57,131.875,68.55375,9,A3
F,14.385,11.235,3.675,198.0625,90.584375,9,A3
F,12.495,9.765,3.15,134.5625,61.98875,9,A3
F,11.13,8.82,2.835,84.625,32.383125,9,A3
F,13.125,10.08,3.57,169.0625,78.716875,10,A3
F,13.86,10.605,3.99,175.5625,78.969375,9,A3
F,12.705,10.29,3.15,141.8125,66.470625,9,A3
F,13.125,10.08,4.2,165.4375,76.696875,9,A3
F,12.075,10.08,3.465,134.75,64.51375,9,A3
F,13.65,10.29,3.255,140.25,68.80625,9,A3
F,12.285,9.765,3.045,123.1875,54.603125,10,A3
F,11.76,9.555,3.99,89.25,35.72875,9,A3
F,9.555,7.35,2.94,64.8125,27.90125,10,A3
F,11.97,9.03,3.36,101.375,48.921875,9,A3
F,13.755,10.71,3.15,130.375,60.536875,9,A3
F,9.03,7.35,1.89,49.625,19.884375,9,A3
F,14.07,11.34,4.2,182.5,81.241875,9,A3
F,13.23,10.5,3.885,172.875,68.175,10,A3
F,14.175,11.13,3.675,180.8125,85.534375,10,A3
F,13.65,11.235,3.675,161.1875,76.949375,10,A3
F,10.5,7.77,2.835,56.25,21.651875,9,A3
F,13.335,10.605,3.57,157.9375,64.64,9,A3
F,14.595,11.235,3.675,229.8125,101.441875,10,A3
F,8.505,6.825,2.31,44.4375,19.06375,9,A3
F,14.805,11.76,4.305,297.625,125.176875,10,A3
F,13.23,10.185,3.885,145.875,69.185,10,A3
F,13.86,10.395,4.41,193.5,91.405,10,A3
F,10.605,7.98,2.835,85.6875,45.57625,9,A3
F,13.755,10.71,3.675,176.875,74.298125,10,A3
F,9.24,7.14,2.94,60.25,23.4825,9,A3
F,15.645,11.97,4.515,281.25,146.008125,9,A3
F,11.97,9.765,3.36,111.6875,39.705625,10,A3
F,12.6,9.45,2.94,104.625,46.7125,10,A3
F,12.705,9.555,3.045,107.75,42.1675,9,A3
F,12.075,9.975,3.36,111.875,45.513125,9,A3
F,12.915,9.975,3.255,139.375,61.105,10,A3
F,11.445,8.085,3.15,139.8125,68.490625,9,A3
F,10.29,7.665,3.045,79.3125,25.186875,10,A3
F,10.5,8.295,2.94,94.309375,39.958125,10,A3
F,15.225,12.18,3.885,206.193125,101.568125,9,A3
F,13.545,10.92,3.78,160.625,72.909375,9,A3
F,11.76,9.24,2.835,100.3125,44.1875,9,A3
F,13.545,10.71,3.99,170.375,72.34125,10,A3
F,11.865,9.555,2.73,132.25,55.42375,10,A3
F,12.705,10.5,3.885,139.8125,59.21125,9,A3
F,12.915,10.395,3.465,149.75,68.364375,10,A3
F,14.07,10.605,4.305,170.5625,76.696875,9,A3
F,13.335,10.5,3.465,182.4375,89.00625,9,A3
F,14.805,11.55,3.57,152.375,80.736875,9,A3
F,9.975,7.875,2.625,72.3125,35.034375,10,A3
F,12.075,9.03,3.255,99.4375,43.998125,9,A3
F,10.815,8.295,3.465,94.5625,24.050625,10,A3
F,14.385,11.13,3.57,188.8125,93.235625,10,A3
F,9.975,8.19,2.52,66.3125,26.954375,10,A3
F,13.86,10.5,3.675,165.9375,70.195,9,A3
F,13.65,10.5,3.99,183,80.989375,9,A3
F,11.655,9.03,2.94,94.3125,44.503125,9,A3
F,13.125,10.185,3.465,153.1875,64.071875,10,A3
F,12.705,9.555,3.045,122.1875,59.085,9,A3
F,11.34,8.715,3.15,101.4375,48.921875,9,A3
F,13.02,10.08,3.465,130.375,61.041875,10,A3
F,13.02,9.975,3.36,165.5625,86.670625,9,A3
F,12.075,8.82,2.835,107.125,58.20125,10,A3
F,12.39,9.555,3.15,122,58.70625,10,A3
F,12.075,9.765,3.675,137.375,59.779375,9,A3
F,12.075,9.66,3.465,119.6875,60.789375,10,A3
F,11.025,8.715,3.15,88.1875,41.53625,10,A3
F,9.345,6.825,2.625,56.875,22.535625,9,A3
F,14.49,12.18,4.095,207.25,89.385,10,A3
F,15.015,12.285,4.83,259.0625,109.269375,10,A3
F,13.02,10.71,3.675,158.8125,68.364375,9,A3
F,11.445,8.61,2.415,84.5625,36.6125,9,A3
